movie_odid,Movie ID,Movie Success
24910100,24910100,1
19540100,19540100,1
19850100,19850100,1
75540100,75540100,1
7780100,7780100,1
31930100,31930100,1
35340100,35340100,1
130560100,130560100,1
24440100,24440100,1
40190100,40190100,1
40870100,40870100,1
14070100,14070100,1
74420100,74420100,1
130880100,130880100,1
24260100,24260100,1
26000100,26000100,1
18030100,18030100,1
2620100,2620100,1
83460100,83460100,1
71010100,71010100,1
41200100,41200100,1
32340100,32340100,1
27190100,27190100,1
22630100,22630100,1
45610100,45610100,1
16570100,16570100,1
28450100,28450100,1
54100100,54100100,1
16720100,16720100,1
11750100,11750100,1
23280100,23280100,1
27520100,27520100,1
52070100,52070100,1
14570100,14570100,1
13800100,13800100,1
5860100,5860100,1
59180100,59180100,1
16690100,16690100,1
48380100,48380100,1
36990100,36990100,1
110030100,110030100,1
2860100,2860100,1
41460100,41460100,1
5600100,5600100,1
10330100,10330100,1
130090100,130090100,1
9100100,9100100,1
10120100,10120100,1
10900100,10900100,1
130300100,130300100,1
14590100,14590100,1
130180100,130180100,1
29460100,29460100,1
5010100,5010100,1
5020100,5020100,1
11330100,11330100,1
16190100,16190100,1
6650100,6650100,1
3140100,3140100,1
16830100,16830100,1
6310100,6310100,1
6760100,6760100,1
1590100,1590100,1
8480100,8480100,1
23100100,23100100,1
32730100,32730100,1
7030100,7030100,1
9740100,9740100,1
44650100,44650100,1
1870100,1870100,1
1000100,1000100,1
6580100,6580100,1
13140100,13140100,1
3960100,3960100,1
15960100,15960100,1
30130100,30130100,1
5570100,5570100,1
15160100,15160100,1
8000100,8000100,1
2280100,2280100,1
5470100,5470100,1
980100,980100,1
8200100,8200100,1
8290100,8290100,1
5270100,5270100,1
2450100,2450100,1
9180100,9180100,1
1490100,1490100,1
510100,510100,1
750100,750100,1
8150100,8150100,1
7910100,7910100,1
2430100,2430100,1
2760100,2760100,1
620100,620100,1
70100,70100,1
940100,940100,1
8190100,8190100,1
45640100,45640100,1
24920100,24920100,1
62540100,62540100,1
35540100,35540100,1
117390100,117390100,1
54910100,54910100,1
44640100,44640100,1
51520100,51520100,1
11260100,11260100,1
35610100,35610100,1
21050100,21050100,1
33550100,33550100,1
8410100,8410100,1
44590100,44590100,1
8990100,8990100,1
38270100,38270100,1
24580100,24580100,1
9700100,9700100,1
47450100,47450100,1
38530100,38530100,1
130270100,130270100,1
18640100,18640100,1
50540100,50540100,1
33030100,33030100,1
36760100,36760100,1
59620100,59620100,1
16040100,16040100,1
22440100,22440100,1
51200100,51200100,1
26490100,26490100,1
133140100,133140100,1
34490100,34490100,1
15920100,15920100,1
2970100,2970100,1
24940100,24940100,1
40120100,40120100,1
25600100,25600100,1
21080100,21080100,1
28530100,28530100,1
26730100,26730100,1
5850100,5850100,1
26300100,26300100,1
29470100,29470100,1
49050100,49050100,1
38070100,38070100,1
14120100,14120100,1
11600100,11600100,1
39500100,39500100,1
15510100,15510100,1
11300100,11300100,1
4840100,4840100,1
48080100,48080100,1
129960100,129960100,1
42850100,42850100,1
14150100,14150100,1
23310100,23310100,1
17000100,17000100,1
16220100,16220100,1
31760100,31760100,1
17980100,17980100,1
6530100,6530100,1
13890100,13890100,1
41990100,41990100,1
5560100,5560100,1
41320100,41320100,1
1850100,1850100,1
37840100,37840100,1
19510100,19510100,1
12850100,12850100,1
9970100,9970100,1
130150100,130150100,1
100700100,100700100,1
10710100,10710100,1
33730100,33730100,1
49520100,49520100,1
16120100,16120100,1
35870100,35870100,1
9870100,9870100,1
30380100,30380100,1
26770100,26770100,1
12680100,12680100,1
13000100,13000100,1
33270100,33270100,1
13340100,13340100,1
21470100,21470100,1
13820100,13820100,1
50090100,50090100,1
47400100,47400100,1
4660100,4660100,1
10840100,10840100,1
22040100,22040100,1
130050100,130050100,1
19920100,19920100,1
27920100,27920100,1
21560100,21560100,1
28880100,28880100,1
770100,770100,1
45050100,45050100,1
1470100,1470100,1
129760100,129760100,1
11790100,11790100,1
3160100,3160100,1
44660100,44660100,1
15390100,15390100,1
14500100,14500100,1
26880100,26880100,1
1140100,1140100,1
11690100,11690100,1
3130100,3130100,1
7580100,7580100,1
30170100,30170100,1
17120100,17120100,1
2670100,2670100,1
3060100,3060100,1
3240100,3240100,1
129820100,129820100,1
8860100,8860100,1
2390100,2390100,1
3310100,3310100,1
2500100,2500100,1
680100,680100,1
480100,480100,1
870100,870100,1
330100,330100,1
5580100,5580100,1
210100,210100,1
200100,200100,1
4330100,4330100,1
2150100,2150100,1
7110100,7110100,1
170100,170100,1
270100,270100,1
118680100,118680100,1
18090100,18090100,1
41220100,41220100,1
27330100,27330100,1
44250100,44250100,1
9370100,9370100,1
14980100,14980100,1
4880100,4880100,1
18120100,18120100,1
17940100,17940100,1
49470100,49470100,1
40110100,40110100,1
58120100,58120100,1
33280100,33280100,1
14760100,14760100,1
38710100,38710100,1
104740100,104740100,1
2110100,2110100,1
54900100,54900100,1
59260100,59260100,1
83140100,83140100,1
36870100,36870100,1
40880100,40880100,1
43500100,43500100,1
115840100,115840100,1
58330100,58330100,1
22700100,22700100,1
20300100,20300100,1
42110100,42110100,1
9040100,9040100,1
12650100,12650100,1
45180100,45180100,1
45160100,45160100,1
43920100,43920100,1
39700100,39700100,1
71820100,71820100,1
32520100,32520100,1
18780100,18780100,1
61280100,61280100,1
130920100,130920100,1
43260100,43260100,1
17850100,17850100,1
20320100,20320100,1
13250100,13250100,1
47930100,47930100,1
14290100,14290100,1
35380100,35380100,1
31340100,31340100,1
130480100,130480100,1
75090100,75090100,1
4580100,4580100,1
108370100,108370100,1
25960100,25960100,1
51760100,51760100,1
16950100,16950100,1
20570100,20570100,1
47890100,47890100,1
28870100,28870100,1
21690100,21690100,1
24670100,24670100,1
22510100,22510100,1
25710100,25710100,1
95820100,95820100,1
34920100,34920100,1
18110100,18110100,1
5880100,5880100,1
35930100,35930100,1
47520100,47520100,1
1890100,1890100,1
11410100,11410100,1
51830100,51830100,1
30960100,30960100,1
27650100,27650100,1
21140100,21140100,1
5110100,5110100,1
60770100,60770100,1
31840100,31840100,1
12560100,12560100,1
13080100,13080100,1
7420100,7420100,1
53010100,53010100,1
26540100,26540100,1
28230100,28230100,1
8240100,8240100,1
14650100,14650100,1
129930100,129930100,1
8580100,8580100,1
29500100,29500100,1
16620100,16620100,1
35590100,35590100,1
18440100,18440100,1
5810100,5810100,1
24500100,24500100,1
19410100,19410100,1
106860100,106860100,1
20910100,20910100,1
13720100,13720100,1
129900100,129900100,1
40290100,40290100,1
8610100,8610100,1
18730100,18730100,1
1040100,1040100,1
11500100,11500100,1
37800100,37800100,1
40790100,40790100,1
62400100,62400100,1
12080100,12080100,1
17930100,17930100,1
17270100,17270100,1
34060100,34060100,1
20350100,20350100,1
6690100,6690100,1
29990100,29990100,1
22920100,22920100,1
40730100,40730100,1
23220100,23220100,1
4090100,4090100,1
12970100,12970100,1
19430100,19430100,1
4440100,4440100,1
2020100,2020100,1
7150100,7150100,1
16900100,16900100,1
10400100,10400100,1
15870100,15870100,1
1810100,1810100,1
18140100,18140100,1
71930100,71930100,1
25460100,25460100,1
2040100,2040100,1
13980100,13980100,1
10730100,10730100,1
7930100,7930100,1
47080100,47080100,1
34550100,34550100,1
17610100,17610100,1
4290100,4290100,1
15620100,15620100,1
14240100,14240100,1
7050100,7050100,1
2400100,2400100,1
3590100,3590100,1
4130100,4130100,1
2560100,2560100,1
5970100,5970100,1
3040100,3040100,1
5870100,5870100,1
6260100,6260100,1
1750100,1750100,1
5440100,5440100,1
4380100,4380100,1
3560100,3560100,1
6890100,6890100,1
129860100,129860100,1
12600100,12600100,1
11190100,11190100,1
790100,790100,1
2380100,2380100,1
1230100,1230100,1
670100,670100,1
3380100,3380100,1
2680100,2680100,1
4040100,4040100,1
700100,700100,1
240100,240100,1
20100,20100,1
220100,220100,1
2070100,2070100,1
1460100,1460100,1
112640100,112640100,1
135010100,135010100,1
142550100,142550100,1
30210100,30210100,1
115320100,115320100,1
109520100,109520100,1
135280100,135280100,1
245740100,245740100,1
153060100,153060100,1
134650100,134650100,1
51570100,51570100,1
139470100,139470100,1
129040100,129040100,1
120480100,120480100,1
37980100,37980100,1
110660100,110660100,1
125740100,125740100,1
29770100,29770100,1
112840100,112840100,1
10510100,10510100,1
53310100,53310100,1
33690100,33690100,1
43620100,43620100,1
106310100,106310100,1
116050100,116050100,1
17320100,17320100,1
18100100,18100100,1
19950100,19950100,1
45910100,45910100,1
13010100,13010100,1
39170100,39170100,1
114810100,114810100,1
39380100,39380100,1
7850100,7850100,1
112250100,112250100,1
4890100,4890100,1
36590100,36590100,1
110260100,110260100,1
110040100,110040100,1
30590100,30590100,1
22210100,22210100,1
107400100,107400100,1
114230100,114230100,1
15360100,15360100,1
134090100,134090100,1
14090100,14090100,1
130680100,130680100,1
32100100,32100100,1
46060100,46060100,1
134230100,134230100,1
133410100,133410100,1
25100100,25100100,1
105130100,105130100,1
112430100,112430100,1
50520100,50520100,1
27810100,27810100,1
84040100,84040100,1
13480100,13480100,1
7340100,7340100,1
38170100,38170100,1
31470100,31470100,1
108930100,108930100,1
53160100,53160100,1
105270100,105270100,1
109740100,109740100,1
112590100,112590100,1
22770100,22770100,1
115470100,115470100,1
118960100,118960100,1
110900100,110900100,1
1960100,1960100,1
21020100,21020100,1
117920100,117920100,1
112190100,112190100,1
1920100,1920100,1
11280100,11280100,1
112360100,112360100,1
41490100,41490100,1
