movie_odid,display_name,production_country
139970100,La siciliana ribelle,Italy
139980100,"The Twilight Saga: Breaking Dawn, Part 1",United States
139990100,"The Twilight Saga: Breaking Dawn, Part 2",United States
140020100,Helena From the Wedding,United States
140030100,Monsters,United Kingdom
140040100,Catfish,United States
140050100,Red,United States
140060100,Freakonomics,United States
140070100,The Warrior's Way,New Zealand
140080100,Stone,United States
140090100,Frankenweenie,United States
140100100,John Carter,United States
140110100,Dolphin Tale,United States
140120100,Altiplano,Belgium
140120100,Altiplano,Germany
140120100,Altiplano,Netherlands
181330100,Penguins of Madagascar,United States
180630100,Minions,United States
