movie_odid,display_name,billing,person_odid,person,role
139970100,La siciliana ribelle,100,177550401,Simonetta Amenta,Producer
139970100,La siciliana ribelle,100,177560401,Tilde Corsi,Producer
139970100,La siciliana ribelle,100,177570401,Gianni Romoli,Producer
139970100,La siciliana ribelle,100,429390401,Raphael Berdugo,Producer
139970100,La siciliana ribelle,100,177590401,Marco Amenta,Producer
139970100,La siciliana ribelle,100,177590401,Marco Amenta,Director
139970100,La siciliana ribelle,100,177590401,Marco Amenta,Screenwriter
139970100,La siciliana ribelle,100,177600401,Sergio Donati,Screenwriter
139970100,La siciliana ribelle,100,177570401,Gianni Romoli,Screenwriter
139980100,"The Twilight Saga: Breaking Dawn, Part 1",1,30950401,Bill Condon,Director
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2,182190401,Melissa Rosenberg,Screenwriter
139980100,"The Twilight Saga: Breaking Dawn, Part 1",3,205100401,Stephenie Meyer,Story Creator
139980100,"The Twilight Saga: Breaking Dawn, Part 1",4,205090401,Wyck Godfrey,Producer
139980100,"The Twilight Saga: Breaking Dawn, Part 1",5,124020401,Karen Rosenfelt,Producer
139980100,"The Twilight Saga: Breaking Dawn, Part 1",6,205100401,Stephenie Meyer,Producer
139980100,"The Twilight Saga: Breaking Dawn, Part 1",7,17560401,Marty Bowen,Executive Producer
139980100,"The Twilight Saga: Breaking Dawn, Part 1",8,101240401,Greg Mooradian,Executive Producer
139980100,"The Twilight Saga: Breaking Dawn, Part 1",9,101980401,Mark Morgan,Executive Producer
139980100,"The Twilight Saga: Breaking Dawn, Part 1",10,109300401,Guy Oseary,Executive Producer
139980100,"The Twilight Saga: Breaking Dawn, Part 1",11,289350401,Bill Bannerman,Co-Producer
139980100,"The Twilight Saga: Breaking Dawn, Part 1",12,104670401,Guillermo Navarro,Cinematographer
139980100,"The Twilight Saga: Breaking Dawn, Part 1",13,289360401,Richard Sherman,Production Designer
139980100,"The Twilight Saga: Breaking Dawn, Part 1",14,75500401,Virginia Katz,Editor
139980100,"The Twilight Saga: Breaking Dawn, Part 1",15,289370401,John Bruno,Visual Effects Designer
139980100,"The Twilight Saga: Breaking Dawn, Part 1",16,289370401,John Bruno,Visual Effects Supervisor
139980100,"The Twilight Saga: Breaking Dawn, Part 1",17,182300401,Carter Burwell,Composer
139980100,"The Twilight Saga: Breaking Dawn, Part 1",18,111670401,Alexandra Patsavas,Music Supervisor
139980100,"The Twilight Saga: Breaking Dawn, Part 1",19,201530401,Michael Wilkinson,Costume Designer
139980100,"The Twilight Saga: Breaking Dawn, Part 1",20,258110401,Debra Zane,Casting Director
139980100,"The Twilight Saga: Breaking Dawn, Part 1",21,809710401,John M. Morse,Assistant Director
139990100,"The Twilight Saga: Breaking Dawn, Part 2",1,30950401,Bill Condon,Director
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2,258110401,Debra Zane,Casting Director
139990100,"The Twilight Saga: Breaking Dawn, Part 2",3,201530401,Michael Wilkinson,Costume Designer
139990100,"The Twilight Saga: Breaking Dawn, Part 2",4,111670401,Alexandra Patsavas,Music Supervisor
139990100,"The Twilight Saga: Breaking Dawn, Part 2",5,182300401,Carter Burwell,Composer
139990100,"The Twilight Saga: Breaking Dawn, Part 2",6,436290401,Terry Windell,Visual Effects Supervisor
139990100,"The Twilight Saga: Breaking Dawn, Part 2",7,75500401,Virginia Katz,Editor
139990100,"The Twilight Saga: Breaking Dawn, Part 2",8,436300401,Ian Slater,Editor
139990100,"The Twilight Saga: Breaking Dawn, Part 2",9,289360401,Richard Sherman,Production Designer
139990100,"The Twilight Saga: Breaking Dawn, Part 2",10,104670401,Guillermo Navarro,Cinematographer
139990100,"The Twilight Saga: Breaking Dawn, Part 2",11,289350401,Bill Bannerman,Co-Producer
139990100,"The Twilight Saga: Breaking Dawn, Part 2",12,17560401,Marty Bowen,Executive Producer
139990100,"The Twilight Saga: Breaking Dawn, Part 2",13,101240401,Greg Mooradian,Executive Producer
139990100,"The Twilight Saga: Breaking Dawn, Part 2",14,101980401,Mark Morgan,Executive Producer
139990100,"The Twilight Saga: Breaking Dawn, Part 2",15,109300401,Guy Oseary,Executive Producer
139990100,"The Twilight Saga: Breaking Dawn, Part 2",16,205090401,Wyck Godfrey,Producer
139990100,"The Twilight Saga: Breaking Dawn, Part 2",17,124020401,Karen Rosenfelt,Producer
139990100,"The Twilight Saga: Breaking Dawn, Part 2",18,205100401,Stephenie Meyer,Producer
139990100,"The Twilight Saga: Breaking Dawn, Part 2",19,205100401,Stephenie Meyer,Story Creator
139990100,"The Twilight Saga: Breaking Dawn, Part 2",20,182190401,Melissa Rosenberg,Screenwriter
139990100,"The Twilight Saga: Breaking Dawn, Part 2",21,809710401,John M. Morse,Assistant Director
140020100,Helena From the Wedding,1,194890401,Alexa L. Fogel,Producer
140020100,Helena From the Wedding,2,194900401,Brendan Mason,Producer
140020100,Helena From the Wedding,3,194910401,Joseph Infantolino,Director
140020100,Helena From the Wedding,4,194910401,Joseph Infantolino,Screenwriter
140030100,Monsters,1,192090401,Gareth Edwards,Director
140030100,Monsters,2,192040401,Allan Niblo,Producer
