movie_odid,display_name,billing,person_odid,person,character,type
139970100,La siciliana ribelle,100,34800401,Veronica D'Agostino,Rita,Leading
139970100,La siciliana ribelle,100,171820401,Gerard Jugnot,Judge,Supporting
139970100,La siciliana ribelle,100,171830401,Marcello Mazzarella,Don Michele,Supporting
139970100,La siciliana ribelle,100,171840401,Mario Pupella,Don Salvo,Supporting
139970100,La siciliana ribelle,100,171860401,Miriana Faja,Young Rita,Supporting
139970100,La siciliana ribelle,100,171870401,Lucio Sardo,Don Michele's Wife,Supporting
139970100,La siciliana ribelle,100,171890401,Paolo Briguglia,Bruni,Supporting
139970100,La siciliana ribelle,100,25360401,Francesco Casisa,Vito,Supporting
139970100,La siciliana ribelle,100,171900401,Carmelo Galati,Rita's Brother,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",1,137280401,Kristen Stewart,Bella Swan,Leading
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2,111800401,Robert Pattinson,Edward Cullen,Leading
139980100,"The Twilight Saga: Breaking Dawn, Part 1",3,82690401,Taylor Lautner,Jacob Black,Leading
139980100,"The Twilight Saga: Breaking Dawn, Part 1",4,21220401,Billy Burke,Charlie Swan,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",5,45980401,Peter Facinelli,Dr. Carlisle Cullen,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",6,119260401,Elizabeth Reaser,Esme Cullen,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",7,88750401,Kellan Lutz,Emmett Cullen,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",8,119550401,Nikki Reed,Rosalie Hale,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",9,118760401,Jackson Rathbone,Jasper Hale,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",10,57910401,Ashley Greene,Alice Cullen,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",11,131010401,Michael Sheen,Aro,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",12,76630401,Anna Kendrick,Jessica,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",13,29110401,Sarah Clarke,Renee,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",14,23030401,Christian Camargo,Eleazar Denali,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",15,14790401,Gil Birmingham,Billy,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",16,168160401,Booboo Stewart,Seth,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",17,90170401,Mia Maestro,Carmen Denali,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",18,173790401,Casey Labow,Kate Denali,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",19,57110401,Maggie Grace,Irina Denali,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",20,21180401,MyAnna Buring,Tanya Denali,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",21,108830401,Ty Olsson,Phil,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",22,289210401,Christian Sloan,Unsavory Person,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",23,257660401,James Pizzinato,Unsavory Person,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",24,289220401,Ian Harmon,Unsavory Person,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",25,289230401,Gabriel Carter,Unsavory Person,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",26,129960401,Christian Serratos,Angela,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",27,28090401,Justin Chon,Eric,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",28,150520401,Michael Welch,Mike,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",29,65300401,Christopher Heyerdahl,Marcus,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",30,17590401,Jamie Campbell Bower,Caius,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",31,289240401,Angelo Renai,Minister Webber,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",32,168150401,Alex Rice,Sue Clearwater,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",33,289250401,Paul Becker,Dancer,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",34,289260401,Stephanie Moseley,Dancer,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",35,56520401,Kiowa Gordon,Embry,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",36,67880401,Tyson Houseman,Quil,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",37,135330401,Chaske Spencer,Sam Uley,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",38,112540401,Bronson Pelletier,Jared,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",39,98060401,Alex Meraz,Paul,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",40,167760401,Julia Jones,Leah,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",41,79480401,Tinsel Korey,Emily,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",42,289270401,Tanaya Beatty,Rachel,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",43,289280401,Sienna Joseph,Claire,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",44,289290401,Carolina Virguez,Kaure,Supporting
139980100,"The Twilight Saga: Breaking Dawn, Part 1",45,289300401,Sebastiao Lemos,Gustavo,Supporting
