movie_odid,display_name,chart_type,chart_date,ranked,rank,previous_rank,revenue,estimated,tickets,theaters,total_revenue,total_tickets,days_in_release
139970100,La siciliana ribelle,Daily,2010-09-06,1,103,0,268,0,34,2,23942,3034,32
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-11-18,1,1,0,71642526,0,9034366,4061,71642526,9034366,1
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-11-19,1,1,1,40029203,0,5047819,4061,111671729,14082185,2
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-11-20,1,1,1,26450532,0,3335502,4061,138122261,17417687,3
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-11-21,1,1,1,9853481,0,1242558,4061,147975742,18660245,4
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-11-22,1,1,1,11002420,0,1387443,4061,158978162,20047688,5
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-11-23,1,1,1,12437564,0,1568419,4061,171415726,21616107,6
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-11-24,1,1,1,7732709,0,975121,4061,179148435,22591228,7
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-11-25,1,1,1,16689211,0,2104566,4066,195837646,24695794,8
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-11-26,1,1,1,16363978,0,2063553,4066,212201624,26759347,9
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-11-27,1,1,1,8630385,0,1088321,4066,220832009,27847668,10
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-11-28,1,1,1,2525769,0,318508,4066,223357778,28166176,11
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-11-29,1,1,1,2642924,0,333282,4066,226000702,28499458,12
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-11-30,1,1,1,2151124,0,271264,4066,228151826,28770722,13
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-12-01,1,1,1,2239118,0,282360,4066,230390944,29053082,14
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-12-02,1,1,1,5452139,0,687533,4046,235843083,29740616,15
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-12-03,1,1,1,7080431,0,892866,4046,242923514,30633482,16
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-12-04,1,1,1,4002895,0,504779,4046,246926409,31138261,17
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-12-05,1,1,1,1147289,0,144677,4046,248073698,31282938,18
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-12-06,1,1,1,1315111,0,165840,4046,249388809,31448778,19
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-12-07,1,1,1,1069091,0,134816,4046,250457900,31583594,20
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-12-08,1,1,1,1125367,0,141913,4046,251583267,31725507,21
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-12-09,1,3,1,2456195,0,309735,3604,254039462,32035241,22
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-12-10,1,3,3,3398193,0,428524,3604,257437655,32463765,23
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Daily,2011-12-11,1,5,3,1965014,0,247795,3604,259402669,32711560,24
