movie_odid,display_name,territory,release_date,total_box_office,currency,local_box_office,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Brazil,2011-11-18,32709792,BRL,68271878,0,0,1,1
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Rest of World,,375423126,,0,0,0,0,0
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Argentina,2012-11-15,7304324,ARS,36503359,2564201,241,241,1159
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Australia,2012-11-15,29637254,AUD,547723,12991655,655,655,2469
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Austria,2012-11-21,5285699,EUR,3973260,1513435,85,85,502
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Belgium,2012-11-14,7733240,EUR,5873396,2974292,81,88,603
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Bolivia,2012-11-15,741367,BOB,5159692,213027,18,18,124
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Brazil,2012-11-15,54249028,BRL,106924834,11829762,1212,1212,5257
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Bulgaria,2012-11-16,394660,BGN,580308,129284,26,26,173
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Chile,2012-11-15,4582279,CLP,2163518448,1620306,153,153,702
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Colombia,2012-11-16,6746508,COP,11924469756,2111538,357,357,1323
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Croatia,2012-11-15,746458,HRK,4138736,323485,29,29,157
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Czech Republic,2012-11-15,2865195,CZK,55032373,1417899,121,121,360
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Denmark,2012-11-15,4999912,DKK,27939508,2031546,94,100,386
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Ecuador,2012-11-16,2229037,USD,2229037,780100,54,54,217
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Egypt,2012-11-14,939604,EGP,6336689,218991,10,10,107
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Estonia,2012-11-16,287657,EUR,219022,115665,14,14,44
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Finland,2012-11-16,2722801,EUR,2087027,0,0,69,153
139990100,"The Twilight Saga: Breaking Dawn, Part 2",France,2012-11-14,38951800,EUR,29856555,17889240,823,823,3912
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Germany,2012-11-22,40589908,EUR,29646869,0,0,765,4340
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Ghana,2012-11-23,24148,GHS,45671,9103,1,4,7
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Greece,2012-11-15,2481388,EUR,1889329,0,0,88,213
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Hong Kong,2012-12-20,2601309,HKD,20176273,1001911,54,54,158
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Hungary,2012-11-15,1749950,HUF,387965665,765267,44,44,396
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Iceland,2012-11-16,134834,ISK,17212895,51150,7,7,24
139990100,"The Twilight Saga: Breaking Dawn, Part 2",India,2012-11-23,1643386,INR,89170124,1005493,275,275,375
