movie_odid,display_name,release_date,territory,release_pattern,distributor
139970100,La siciliana ribelle,2010-08-04,North America,Limited,Music Box Films
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2011-11-18,Brazil,Wide,
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2011-11-18,North America,Wide,Summit Entertainment
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-14,Belgium,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-14,Egypt,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-14,France,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-14,Italy,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-14,Sweden,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-14,Switzerland,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Argentina,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Australia,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Bolivia,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Brazil,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Chile,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Croatia,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Czech Republic,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Denmark,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Greece,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Hungary,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Lebanon,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Mexico,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,New Zealand,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Peru,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Philippines,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Portugal,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Russia (CIS),Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Slovakia,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Slovenia,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,South Korea,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Thailand,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,Ukraine,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-15,United Arab Emirates,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Bulgaria,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Colombia,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Ecuador,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Estonia,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Finland,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Iceland,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Kenya,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Latvia,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Lithuania,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Netherlands,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Nigeria,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,North America,Wide,Lionsgate
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,North America,IMAX,Lionsgate
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Norway,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Poland,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Romania,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,South Africa,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Spain,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Taiwan,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Turkey,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,United Kingdom,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Uruguay,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Venezuela,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-16,Vietnam,Wide,
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2012-11-21,Austria,Wide,
