movie_odid,display_name,od_name,production_year,running_time,sequel,distributor,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements,domestic_dvd_units,domestic_dvd_spending,domestic_bluray_units,domestic_bluray_spending,creative_type,source,production_method,genre,production_budget,domestic_box_office,international_box_office,inflation_adjusted_domestic_box_office
139970100,La siciliana ribelle,siciliana ribelle La,2008,110,0,Music Box Films,5922,1,6,31,,,,,Dramatization,Based on Real Life Events,Live Action,Drama,0,71239,0,82254
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Twilight Saga Breaking Dawn Part 1 The,2011,117,1,Summit Entertainment,138122261,4061,4066,24750,6374562,111512484,1476491,32330188,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,127500000,281287133,408132918,323118299
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Twilight Saga Breaking Dawn Part 2 The,2012,115,1,Lionsgate,141067634,4070,4070,24105,6280899,78894696,1270673,25359922,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,136200000,292324737,537400000,334481193
140020100,Helena From the Wedding,Helena From the Wedding,2010,99,0,Film Movement,2692,1,1,1,,,,,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,2692,0,3107
140030100,Monsters,Monsters,2010,97,0,Magnet Pictures,20508,3,25,108,,,,,Science Fiction,Original Screenplay,Live Action,Drama,500000,237301,5402429,273992
140040100,Catfish,Catfish,2010,94,0,Universal,257285,12,143,842,,,,,Factual,Based on Real Life Events,Live Action,Documentary,0,3237343,561391,3737924
140050100,Red,Red (2010),2010,110,0,Summit Entertainment,21761408,3255,3349,22086,4204942,44669015,945505,17940625,Contemporary Fiction,Based on Comic/Graphic Novel,Live Action,Action,60000000,90380162,106059531,104350194
140060100,Freakonomics,Freakonomics,2010,85,0,Magnolia Pictures,31893,20,20,83,,,,,Factual,Based on Factual Book/Article,Live Action,Documentary,2900000,101270,71597,116927
140070100,The Warrior's Way,Warriors Way The,2010,100,0,Relativity,3048665,1622,1622,3699,227896,3377997,55681,1401730,Historical Fiction,Original Screenplay,Live Action,Western,42000000,5666340,2847985,6541927
140080100,Stone,Stone,2010,105,0,Overture Films,75766,6,125,690,304265,4713466,46459,1188497,Contemporary Fiction,Original Screenplay,Live Action,Drama,22000000,1810078,2254942,2089962
140090100,Frankenweenie,Frankenweenie,2011,87,0,Walt Disney,11412213,3005,3005,12496,1064470,19365156,238287,7355750,Fantasy,Based on Short Film,Stop-Motion Animation,Adventure,39000000,35287788,45863000,40377415
140100100,John Carter,John Carter of Mars,2011,132,0,Walt Disney,30180188,3749,3749,16062,1513845,24574094,674083,14673928,Science Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,275000000,73058679,209719421,83613639
140110100,Dolphin Tale,Dolphin Tale,2011,112,0,Warner Bros.,19152401,3507,3515,22578,2725872,34145649,530235,12372090,Dramatization,Based on Real Life Events,Live Action,Drama,37000000,72286779,23781945,83042023
140120100,Altiplano,Altiplano,2010,109,0,First Run Features,1269,1,1,3,,,,,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,3063,0,3535
181330100,Penguins of Madagascar,Penguins of Madagascar,2014,92,0,20th Century Fox,25447444,3764,3775,21146,887473,11854460,533245,9956663,Kids Fiction,Spin-Off,Digital Animation,Adventure,132000000,83350911,283591620,92620231
180630100,Minions,Minions,2014,91,0,Universal,115718405,4301,4311,33712,3700576,53549711,3491091,64598182,Kids Fiction,Spin-Off,Digital Animation,Adventure,74000000,336045770,824290403,363152668
