movie_odid,display_name,rental_revenue,vod_revenue,rental_and_vod_revenue,streaming_revenue,est_revenue
139980100,"The Twilight Saga: Breaking Dawn, Part 1",,4168206,23911085,,18924684
139990100,"The Twilight Saga: Breaking Dawn, Part 2",,59545926,37676785,,13108616
140030100,Monsters,,26485,,,
140040100,Catfish,,,62182,,
140050100,Red,,2855515,47731870,,8067040
140060100,Freakonomics,,58301,,,
140070100,The Warrior's Way,,,1919003,,958554
140080100,Stone,,,7671959,,658180
140090100,Frankenweenie,,6025344,6573157,,4315360
140100100,John Carter,,19173860,12725163,,7155231
140110100,Dolphin Tale,,11569464,12615942,,6619272
181330100,Penguins of Madagascar,11850679,43161650,,16977247,9213872
180630100,Minions,16801792,151873306,,19000000,47948673
