movie_odid,display_name,release_odid,release_name,chart_date,ranked,rank,previous_rank,revenue,units,total_revenue,total_units
139980100,"The Twilight Saga: Breaking Dawn, Part 1",60970119,"The Twilight Saga: Breaking Dawn, Part 1",2012-02-12,1,2,0,11364537,494325,11364537,494325
139980100,"The Twilight Saga: Breaking Dawn, Part 1",60970119,"The Twilight Saga: Breaking Dawn, Part 1",2012-02-19,1,1,2,14307758,622347,25672295,1116672
139980100,"The Twilight Saga: Breaking Dawn, Part 1",60970119,"The Twilight Saga: Breaking Dawn, Part 1",2012-02-26,1,4,1,2050884,89208,27723179,1205880
139980100,"The Twilight Saga: Breaking Dawn, Part 1",60970119,"The Twilight Saga: Breaking Dawn, Part 1",2012-03-04,1,7,4,623144,30206,28346323,1236086
139980100,"The Twilight Saga: Breaking Dawn, Part 1",60970119,"The Twilight Saga: Breaking Dawn, Part 1",2012-03-11,1,12,7,343873,17263,28690196,1253348
139980100,"The Twilight Saga: Breaking Dawn, Part 1",60970119,"The Twilight Saga: Breaking Dawn, Part 1",2012-03-18,1,15,12,277391,13272,28967587,1266621
139980100,"The Twilight Saga: Breaking Dawn, Part 1",60970119,"The Twilight Saga: Breaking Dawn, Part 1",2012-03-25,1,17,15,213637,10472,29181224,1277093
139980100,"The Twilight Saga: Breaking Dawn, Part 1",60970119,"The Twilight Saga: Breaking Dawn, Part 1",2012-04-01,0,0,0,160619,8081,29341843,1285174
139980100,"The Twilight Saga: Breaking Dawn, Part 1",60970119,"The Twilight Saga: Breaking Dawn, Part 1",2012-04-08,0,0,0,116573,5865,29458416,1291039
139980100,"The Twilight Saga: Breaking Dawn, Part 1",60970119,"The Twilight Saga: Breaking Dawn, Part 1",2012-04-15,0,0,0,73939,3720,29532355,1294759
139980100,"The Twilight Saga: Breaking Dawn, Part 1",60970119,"The Twilight Saga: Breaking Dawn, Part 1",2012-04-22,0,0,0,58276,2932,29590631,1297691
139980100,"The Twilight Saga: Breaking Dawn, Part 1",60970119,"The Twilight Saga: Breaking Dawn, Part 1",2012-04-29,0,0,0,51240,2578,29641871,1300269
139980100,"The Twilight Saga: Breaking Dawn, Part 1",60970119,"The Twilight Saga: Breaking Dawn, Part 1",2012-05-06,1,24,0,47345,2382,29689216,1302651
