movie_odid,display_name,chart_date,est_revenue,total_est_revenue
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-02-12,6721949,6721949
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-02-19,4977522,11699471
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-02-26,1388827,13088298
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-03-04,576869,13665167
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-03-11,346372,14011539
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-03-18,262816,14274355
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-03-25,190477,14464832
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-04-01,177622,14642454
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-04-08,137359,14779813
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-04-15,117715,14897528
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-04-22,126544,15024072
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-04-29,92648,15116720
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-05-06,164991,15281711
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-05-13,77326,15359037
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-05-20,97050,15456087
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-05-27,65840,15521927
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-06-03,52171,15574098
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-06-10,39729,15613827
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-06-17,20482,15634309
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-06-24,25201,15659510
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-07-01,25472,15684982
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-07-08,19401,15704383
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-07-15,15559,15719942
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-07-22,11933,15731875
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-07-29,13486,15745361
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-08-05,14506,15759867
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-08-12,8596,15768463
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-08-19,8960,15777423
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-08-26,9253,15786676
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-09-02,7678,15794354
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-09-09,8102,15802456
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-09-16,5696,15808152
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-09-23,22966,15831118
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-09-30,22737,15853855
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-10-07,18954,15872809
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-10-14,32804,15905613
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-10-21,24942,15930555
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-10-28,48336,15978891
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-11-04,139205,16118096
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-11-11,183485,16301581
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-11-18,250847,16552428
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-11-25,129144,16681572
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-12-02,76297,16757869
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-12-09,88160,16846029
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-12-16,91601,16937630
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-12-23,63707,17001337
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2012-12-30,43611,17044948
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2013-01-06,33119,17078067
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2013-01-13,17414,17095481
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2013-01-20,13930,17109411
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2013-01-27,12307,17121718
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2013-02-03,146769,17268487
