movie_odid,display_name,chart_date,vod_revenue,total_vod_revenue
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2014-07-20,5387,5387
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2014-07-27,10472,15859
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2015-03-15,50055,65914
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2015-03-22,57303,123217
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2015-03-29,48374,171591
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2015-04-05,35413,207004
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2015-09-20,5508,212512
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2017-01-15,12213,224725
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2017-02-05,17143,241868
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2017-02-12,50827,292695
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2017-02-19,45506,338201
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2017-02-26,42461,380662
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2017-03-05,42600,423262
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2017-03-12,27992,451254
139980100,"The Twilight Saga: Breaking Dawn, Part 1",2017-09-03,11880,463134
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-02-15,20756,20756
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-02-22,28686,49442
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-03-08,77956,127398
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-03-15,216902,344300
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-03-22,194926,539226
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-03-29,170328,709554
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-04-05,180127,889681
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-04-12,193004,1082685
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-04-19,148868,1231553
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-04-26,140534,1372087
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-05-03,142554,1514641
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-05-10,89104,1603745
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-05-17,30187,1633932
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-06-07,11935,1645867
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-06-14,62416,1708283
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-07-19,113431,1821714
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-07-26,39558,1861272
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-08-02,98055,1959327
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-08-30,97781,2057108
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-09-20,32226,2089334
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-09-27,71850,2161184
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-10-04,47714,2208898
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-11-08,18482,2227380
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2015-11-15,12202,2239582
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-01-15,23009,2262591
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-02-05,17053,2279644
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-02-12,57850,2337494
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-02-19,51276,2388770
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-02-26,51285,2440055
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-03-05,48147,2488202
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-03-12,51710,2539912
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-03-19,65265,2605177
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-03-26,23730,2628907
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-04-02,8396,2637303
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-04-09,7982,2645285
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-06-25,8704,2653989
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-07-09,13895,2667884
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-07-16,14376,2682260
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-08-06,25376,2707636
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-08-13,87351,2794987
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-08-20,39796,2834783
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-08-27,56296,2891079
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-09-03,39788,2930867
139990100,"The Twilight Saga: Breaking Dawn, Part 2",2017-09-10,18024,2948891
