movie_odid,display_name,chart_type,chart_date,ranked,rank,previous_rank,revenue,estimated,tickets,theaters,total_revenue,total_tickets,days_in_release
139970100,La siciliana ribelle,Weekend,2010-08-06,1,76,0,5922,0,751,1,9054,1148,4
139970100,La siciliana ribelle,Weekend,2010-08-13,1,79,76,4398,0,557,1,16400,2079,10
139970100,La siciliana ribelle,Weekend,2010-08-20,1,96,79,1164,0,148,2,19628,2488,18
139970100,La siciliana ribelle,Weekend,2010-08-27,1,92,96,1378,0,175,3,21033,2666,25
139970100,La siciliana ribelle,Weekend,2010-09-03,1,106,92,789,0,100,2,23674,3001,32
139970100,La siciliana ribelle,Weekend,2010-09-10,1,79,106,9248,0,1172,3,33560,4253,39
139970100,La siciliana ribelle,Weekend,2010-09-17,1,92,79,6245,0,792,5,43475,5510,46
139970100,La siciliana ribelle,Weekend,2010-09-24,1,90,92,5644,0,715,6,56281,7133,53
139970100,La siciliana ribelle,Weekend,2010-10-01,1,96,90,3659,0,464,2,63117,8000,60
139970100,La siciliana ribelle,Weekend,2010-10-15,1,127,0,532,0,67,1,65567,8310,74
139970100,La siciliana ribelle,Weekend,2010-10-22,1,107,127,1125,0,143,2,67190,8516,81
139970100,La siciliana ribelle,Weekend,2010-10-29,1,98,107,1587,0,201,2,69308,8784,88
139970100,La siciliana ribelle,Weekend,2010-11-19,1,103,0,848,0,107,1,70905,8987,109
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Weekend,2011-11-18,1,1,0,138122261,0,17417687,4061,138122261,17417687,3
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Weekend,2011-11-25,1,1,1,41683574,0,5256441,4066,220832009,27847668,10
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Weekend,2011-12-02,1,1,1,16535465,0,2085178,4046,246926409,31138261,17
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Weekend,2011-12-09,1,3,1,7819402,0,986053,3604,259402669,32711560,24
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Weekend,2011-12-16,1,6,3,4197893,0,529369,2958,266327974,33584864,31
