movie_odid,display_name,chart_type,territory,chart_date,release,rank,previous_rank,revenue,currency,local_revenue,tickets,theaters,total_revenue,total_local_revenue,total_tickets,days_in_release
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Weekend,Brazil,2012-11-23,"The Twilight Saga: Breaking Dawn, Part 1",18,0,2493,BRL,5203,635,1,32709792,68271878,0,374
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Weekend,Argentina,2012-11-16,"The Twilight Saga: Breaking Dawn, Part 2",1,0,2564201,ARS,12295344,408311,241,2721436,13049286,0,4
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Weekend,Argentina,2012-11-23,"The Twilight Saga: Breaking Dawn, Part 2",1,1,1294793,ARS,6243492,208084,221,4748196,22895801,0,11
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Weekend,Argentina,2012-11-30,"The Twilight Saga: Breaking Dawn, Part 2",1,1,594462,ARS,2873035,97780,200,5852087,28283136,0,18
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Weekend,Argentina,2012-12-07,"The Twilight Saga: Breaking Dawn, Part 2",2,1,367210,ARS,1785926,59571,170,6481260,31521608,0,25
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Weekend,Argentina,2012-12-14,"The Twilight Saga: Breaking Dawn, Part 2",3,2,213048,ARS,1038950,33248,95,6873126,33517486,0,32
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Weekend,Argentina,2012-12-21,"The Twilight Saga: Breaking Dawn, Part 2",3,3,118160,ARS,579338,18445,87,7098194,34802445,0,39
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Weekend,Argentina,2012-12-28,"The Twilight Saga: Breaking Dawn, Part 2",3,3,147926,ARS,726657,22945,84,7305516,35886886,0,46
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Weekend,Argentina,2013-01-04,"The Twilight Saga: Breaking Dawn, Part 2",7,3,75849,ARS,373746,11627,39,7325560,36096697,0,53
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Weekend,Argentina,2013-01-11,"The Twilight Saga: Breaking Dawn, Part 2",10,7,16991,ARS,83970,2734,14,7390252,36522625,0,60
