movie_odid,display_name,chart_type,chart_date,release,ranked,rank,previous_rank,revenue,estimated,tickets,theaters,total_revenue,total_tickets,days_in_release
139970100,La siciliana ribelle,Week,2010-07-30,The Sicilian Girl,1,93,0,3132,0,397,1,3132,397,1
139970100,La siciliana ribelle,Week,2010-08-06,The Sicilian Girl,1,76,93,8870,0,1124,1,12002,1521,8
139970100,La siciliana ribelle,Week,2010-08-13,The Sicilian Girl,1,80,76,6462,0,819,1,18464,2340,15
139970100,La siciliana ribelle,Week,2010-08-20,The Sicilian Girl,1,90,80,2110,0,267,2,20574,2608,22
139970100,La siciliana ribelle,Week,2010-08-27,The Sicilian Girl,1,93,90,2311,0,293,3,22885,2901,29
139970100,La siciliana ribelle,Week,2010-09-03,The Sicilian Girl,1,109,93,1427,0,181,2,24312,3081,36
139970100,La siciliana ribelle,Week,2010-09-10,The Sicilian Girl,1,86,109,12918,0,1637,3,37230,4719,43
139970100,La siciliana ribelle,Week,2010-09-17,The Sicilian Girl,1,82,86,13407,0,1699,5,50637,6418,50
139970100,La siciliana ribelle,Week,2010-09-24,The Sicilian Girl,1,91,82,8821,0,1118,6,59458,7536,57
139970100,La siciliana ribelle,Week,2010-10-01,The Sicilian Girl,1,98,91,5577,0,707,2,65035,8243,64
139970100,La siciliana ribelle,Week,2010-10-15,The Sicilian Girl,1,126,0,1030,0,131,2,66065,8373,78
139970100,La siciliana ribelle,Week,2010-10-22,The Sicilian Girl,1,110,126,1656,0,210,2,67721,8583,85
139970100,La siciliana ribelle,Week,2010-10-29,The Sicilian Girl,1,101,110,2336,0,296,2,70057,8879,92
139970100,La siciliana ribelle,Week,2010-11-19,The Sicilian Girl,1,107,,1182,0,150,1,71239,9029,113
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Week,2011-11-18,"The Twilight Saga: Breaking Dawn, Part 1",1,1,0,179148435,0,22591228,4061,179148435,22591228,7
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Week,2011-11-25,"The Twilight Saga: Breaking Dawn, Part 1",1,1,1,51242509,0,6461855,4066,230390944,29053082,14
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Week,2011-12-02,"The Twilight Saga: Breaking Dawn, Part 1",1,1,1,21192323,0,2672424,4046,251583267,31725507,21
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Week,2011-12-09,"The Twilight Saga: Breaking Dawn, Part 1",1,3,1,10546814,0,1329989,3604,262130081,33055496,28
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Week,2011-12-16,"The Twilight Saga: Breaking Dawn, Part 1",1,7,3,6671820,0,841339,2958,268801901,33896835,35
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Week,2011-12-23,"The Twilight Saga: Breaking Dawn, Part 1",1,13,7,4667895,0,588637,1603,273469796,34485472,42
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Week,2011-12-30,"The Twilight Saga: Breaking Dawn, Part 1",1,14,13,3473842,0,438063,1411,276943638,34923536,49
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Week,2012-01-06,"The Twilight Saga: Breaking Dawn, Part 1",1,14,14,1926047,0,242881,1058,278869685,35166417,56
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Week,2012-01-13,"The Twilight Saga: Breaking Dawn, Part 1",1,19,14,1084054,0,136703,708,279953739,35303120,63
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Week,2012-01-20,"The Twilight Saga: Breaking Dawn, Part 1",1,26,19,417685,0,52672,370,280371424,35355791,70
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Week,2012-01-27,"The Twilight Saga: Breaking Dawn, Part 1",1,33,26,225286,0,28409,191,280596710,35384201,77
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Week,2012-02-03,"The Twilight Saga: Breaking Dawn, Part 1",1,28,33,393179,0,49581,296,280989889,35433782,84
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Week,2012-02-10,"The Twilight Saga: Breaking Dawn, Part 1",1,41,28,223456,0,28179,230,281213345,35461960,91
139980100,"The Twilight Saga: Breaking Dawn, Part 1",Week,2012-02-17,"The Twilight Saga: Breaking Dawn, Part 1",1,54,41,73788,0,9305,148,281287133,35471265,98
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Week,2012-11-16,"The Twilight Saga: Breaking Dawn, Part 2",1,1,0,183724670,0,23168307,4070,183724670,23168307,8
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Week,2012-11-23,"The Twilight Saga: Breaking Dawn, Part 2",1,1,1,53457834,0,6741216,4070,237182504,29909523,15
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Week,2012-11-30,"The Twilight Saga: Breaking Dawn, Part 2",1,1,1,22352260,0,2818697,4008,259534764,32728220,22
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Week,2012-12-07,"The Twilight Saga: Breaking Dawn, Part 2",1,4,1,12155305,0,1532827,3646,271690069,34261047,29
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Week,2012-12-14,"The Twilight Saga: Breaking Dawn, Part 2",1,6,4,7315665,0,922530,3042,279005734,35183577,36
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Week,2012-12-21,"The Twilight Saga: Breaking Dawn, Part 2",1,15,6,4674042,0,589413,1183,283679776,35772990,43
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Week,2012-12-28,"The Twilight Saga: Breaking Dawn, Part 2",1,15,15,4076510,0,523973,1191,287756286,36296963,50
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Week,2013-01-04,"The Twilight Saga: Breaking Dawn, Part 2",1,18,15,1773292,0,227930,825,289529578,36524893,57
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Week,2013-01-11,"The Twilight Saga: Breaking Dawn, Part 2",1,23,18,850445,0,109312,542,290380023,36634205,64
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Week,2013-01-18,"The Twilight Saga: Breaking Dawn, Part 2",1,27,23,474932,0,61046,306,290854955,36695251,71
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Week,2013-01-25,"The Twilight Saga: Breaking Dawn, Part 2",1,32,27,290135,0,37293,216,291145090,36732544,78
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Week,2013-02-01,"The Twilight Saga: Breaking Dawn, Part 2",1,35,32,184378,0,23698,189,291329468,36756242,85
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Week,2013-02-08,"The Twilight Saga: Breaking Dawn, Part 2",1,39,35,164038,0,21084,254,291493506,36777326,92
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Week,2013-02-15,"The Twilight Saga: Breaking Dawn, Part 2",1,26,39,416925,0,53590,254,291910431,36830916,99
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Week,2013-02-22,"The Twilight Saga: Breaking Dawn, Part 2",1,30,26,274497,0,35283,223,292184928,36866199,106
139990100,"The Twilight Saga: Breaking Dawn, Part 2",Week,2013-03-01,"The Twilight Saga: Breaking Dawn, Part 2",1,37,30,139809,0,17971,180,292324737,36884170,113
140020100,Helena From the Wedding,Week,2010-11-12,Helena From the Wedding,1,98,0,2692,0,341,1,2692,341,7
140030100,Monsters,Week,2010-10-29,Monsters,1,53,0,32030,0,4060,3,32030,4060,7
140030100,Monsters,Week,2010-11-05,Monsters,1,51,53,42209,0,5350,13,74239,9409,14
140030100,Monsters,Week,2010-11-12,Monsters,1,42,51,77243,0,9790,25,151482,19199,21
140030100,Monsters,Week,2010-11-19,Monsters,1,50,42,43887,0,5562,19,195369,24762,28
140030100,Monsters,Week,2010-11-26,Monsters,1,61,50,17722,0,2246,12,213091,27008,35
140030100,Monsters,Week,2010-12-03,Monsters,1,71,61,11533,0,1462,15,224624,28469,42
140030100,Monsters,Week,2010-12-10,Monsters,1,78,71,6887,0,873,11,231511,29342,49
140030100,Monsters,Week,2010-12-17,Monsters,1,75,78,4982,0,631,6,236493,29974,56
140030100,Monsters,Week,2010-12-24,Monsters,1,92,75,808,0,102,6,237301,30076,63
140040100,Catfish,Week,2010-09-17,Catfish,1,27,0,358700,0,45463,12,358700,45463,7
140040100,Catfish,Week,2010-09-24,Catfish,1,17,27,672472,0,85231,57,1031172,130694,14
140040100,Catfish,Week,2010-10-01,Catfish,1,15,17,811579,0,102862,136,1842751,233555,21
140040100,Catfish,Week,2010-10-08,Catfish,1,20,15,576065,0,73012,143,2418816,306567,28
140040100,Catfish,Week,2010-10-15,Catfish,1,30,20,294522,0,37329,116,2713338,343896,35
140040100,Catfish,Week,2010-10-22,Catfish,1,31,30,234695,0,29746,139,2948033,373642,42
140040100,Catfish,Week,2010-10-29,Catfish,1,34,31,153415,0,19444,137,3101448,393086,49
140040100,Catfish,Week,2010-11-05,Catfish,1,42,34,75890,0,9619,55,3177338,402704,56
140040100,Catfish,Week,2010-11-12,Catfish,1,51,42,34260,0,4342,25,3211598,407047,63
140040100,Catfish,Week,2010-11-19,Catfish,1,64,51,14945,0,1894,13,3226543,408941,70
140050100,Red,Week,2010-10-15,Red,1,2,0,28483269,0,3610047,3255,28483269,3610047,7
140050100,Red,Week,2010-10-22,Red,1,3,2,19610525,0,2485491,3273,48093794,6095538,14
140050100,Red,Week,2010-10-29,Red,1,3,3,14919082,0,1890885,3349,63012876,7986423,21
140050100,Red,Week,2010-11-05,Red,1,4,3,11690981,0,1481747,3229,74703857,9468169,28
140050100,Red,Week,2010-11-12,Red,1,7,4,6403065,0,811542,2878,81106922,10279711,35
140050100,Red,Week,2010-11-19,Red,1,11,7,3634805,0,460685,2034,84741727,10740396,42
140050100,Red,Week,2010-11-26,Red,1,13,11,1678245,0,212705,914,86419972,10953102,49
140050100,Red,Week,2010-12-03,Red,1,15,13,1045706,0,132536,779,87465678,11085637,56
140050100,Red,Week,2010-12-10,Red,1,18,15,627743,0,79562,564,88093421,11165199,63
140050100,Red,Week,2010-12-17,Red,1,19,18,600299,0,76084,439,88693720,11241283,70
140050100,Red,Week,2010-12-24,Red,1,20,19,521747,0,66128,330,89215467,11307410,77
140050100,Red,Week,2010-12-31,Red,1,20,20,427478,0,53906,303,89642945,11304281,84
140050100,Red,Week,2011-01-07,Red,1,24,20,282379,0,35609,261,89925324,11339890,91
140050100,Red,Week,2011-01-14,Red,1,32,24,209593,0,26430,206,90134917,11366320,98
140050100,Red,Week,2011-01-21,Red,1,36,32,143427,0,18087,153,90278344,11384407,105
140050100,Red,Week,2011-01-28,Red,1,39,36,101818,0,12840,119,90380162,11397246,112
140060100,Freakonomics,Week,2010-10-01,Freakonomics,1,58,0,46552,0,5900,20,46552,5900,7
140060100,Freakonomics,Week,2010-10-08,Freakonomics,1,79,58,11461,0,1453,8,58013,7353,14
140060100,Freakonomics,Week,2010-10-15,Freakonomics,1,78,79,16077,0,2038,12,74090,9390,21
140060100,Freakonomics,Week,2010-10-22,Freakonomics,1,82,78,6618,0,839,14,80708,10229,28
140060100,Freakonomics,Week,2010-10-29,Freakonomics,1,88,82,6457,0,818,9,87165,11048,35
140060100,Freakonomics,Week,2010-11-05,Freakonomics,1,94,88,5603,0,710,7,92768,11758,42
140060100,Freakonomics,Week,2010-11-12,Freakonomics,1,88,94,5111,0,648,7,97879,12405,49
140060100,Freakonomics,Week,2010-11-19,Freakonomics,1,100,88,1988,0,252,3,99867,12657,56
140060100,Freakonomics,Week,2010-11-26,Freakonomics,1,93,100,1403,0,178,3,101270,12835,63
140070100,The Warrior's Way,Week,2010-12-03,The Warrior's Way,1,9,0,3976806,0,504031,1622,3976806,504031,7
140070100,The Warrior's Way,Week,2010-12-10,The Warrior's Way,1,14,9,1443011,0,182891,1622,5419817,686922,14
140070100,The Warrior's Way,Week,2010-12-17,The Warrior's Way,1,34,14,123092,0,15601,34,5542909,702523,21
140070100,The Warrior's Way,Week,2010-12-24,The Warrior's Way,1,59,34,12962,0,1643,34,5555871,704166,28
140070100,The Warrior's Way,Week,2010-12-31,The Warrior's Way,1,57,59,19453,0,2453,38,5575324,703067,35
140070100,The Warrior's Way,Week,2011-01-07,The Warrior's Way,1,46,57,37478,0,4726,32,5612802,707793,42
140070100,The Warrior's Way,Week,2011-01-14,The Warrior's Way,1,49,46,36016,0,4542,77,5648818,712335,49
140070100,The Warrior's Way,Week,2011-01-21,The Warrior's Way,1,59,49,11087,0,1398,29,5659905,713733,56
140070100,The Warrior's Way,Week,2011-01-28,The Warrior's Way,1,70,59,6435,0,811,28,5666340,714545,63
140080100,Stone,Week,2010-10-08,Stone,1,41,0,113141,0,14340,6,113141,14340,7
140080100,Stone,Week,2010-10-15,Stone,1,29,41,310832,0,39396,41,423973,53735,14
140080100,Stone,Week,2010-10-22,Stone,1,23,29,513424,0,65073,113,937397,118808,21
140080100,Stone,Week,2010-10-29,Stone,1,25,23,376620,0,47734,125,1314017,166542,28
140080100,Stone,Week,2010-11-05,Stone,1,32,25,252408,0,31991,109,1566425,198533,35
140080100,Stone,Week,2010-11-12,Stone,1,33,32,111085,0,14079,87,1677510,212612,42
140080100,Stone,Week,2010-11-19,Stone,1,48,33,47873,0,6068,55,1725383,218680,49
140080100,Stone,Week,2010-11-26,Stone,1,54,48,23390,0,2965,23,1748773,221644,56
140080100,Stone,Week,2010-12-03,Stone,1,55,54,19944,0,2528,22,1768717,224172,63
140080100,Stone,Week,2010-12-10,Stone,1,62,55,13370,0,1695,19,1782087,225867,70
140080100,Stone,Week,2010-12-17,Stone,1,56,62,20900,0,2649,64,1802987,228515,77
140080100,Stone,Week,2010-12-24,Stone,1,67,56,7091,0,899,26,1810078,229414,84
140090100,Frankenweenie,Week,2012-10-05,Frankenweenie,1,5,0,15020668,0,1894158,3005,15020668,1894158,7
140090100,Frankenweenie,Week,2012-10-12,Frankenweenie,1,7,5,8888753,0,1120902,3005,23909421,3015060,14
140090100,Frankenweenie,Week,2012-10-19,Frankenweenie,1,10,7,5432986,0,685119,2362,29342407,3700179,21
140090100,Frankenweenie,Week,2012-10-26,Frankenweenie,1,12,10,3231432,0,461633,1738,32573839,4009933,28
140090100,Frankenweenie,Week,2012-11-02,Frankenweenie,1,20,12,980761,0,140108,857,33554600,4106538,35
140090100,Frankenweenie,Week,2012-11-09,Frankenweenie,1,22,20,384657,0,54951,381,33939257,4140191,42
140090100,Frankenweenie,Week,2012-11-16,Frankenweenie,1,32,22,186082,0,26583,177,34125339,4154830,49
140090100,Frankenweenie,Week,2012-11-23,Frankenweenie,1,30,32,135254,0,19322,122,34260593,4169053,56
140090100,Frankenweenie,Week,2012-11-30,Frankenweenie,1,35,30,74839,0,10691,100,34335432,4176248,63
140090100,Frankenweenie,Week,2012-12-07,Frankenweenie,1,47,35,43633,0,6233,75,34379065,4180403,70
140090100,Frankenweenie,Week,2012-12-14,Frankenweenie,1,55,47,36721,0,5245,56,34415786,4183445,77
140090100,Frankenweenie,Week,2013-01-04,Frankenweenie,1,36,0,148636,0,21233,144,34967590,4207143,98
140090100,Frankenweenie,Week,2013-01-25,Frankenweenie,1,48,0,59042,0,8434,84,35242744,4224514,119
140090100,Frankenweenie,Week,2013-02-01,Frankenweenie,1,56,48,30947,0,4421,59,35273691,4227635,126
140090100,Frankenweenie,Week,2013-02-08,Frankenweenie,1,71,56,8376,0,1196,20,35282067,4228500,133
140090100,Frankenweenie,Week,2013-02-15,Frankenweenie,1,84,71,1125,0,160,3,35283192,4228660,140
140090100,Frankenweenie,Week,2013-02-22,Frankenweenie,1,80,84,3747,0,535,3,35287788,4229195,147
140100100,John Carter,Week,2012-03-09,John Carter ,1,2,0,39657453,0,5000940,3749,39657453,5000940,7
140100100,John Carter,Week,2012-03-16,John Carter ,1,3,2,17675927,0,2228995,3749,57333380,7229934,14
140100100,John Carter,Week,2012-03-23,John Carter ,1,4,3,6870959,0,866451,3212,64204339,8096386,21
140100100,John Carter,Week,2012-03-30,John Carter ,1,7,4,2949008,0,421286,2397,67153347,8468266,28
140100100,John Carter,Week,2012-04-06,John Carter ,1,113,7,0,,0,1015,68401011,8625598,35
140100100,John Carter,Week,2012-04-13,John Carter ,1,17,113,463267,0,66181,446,68864278,8616711,42
140100100,John Carter,Week,2012-04-20,John Carter ,1,26,17,242790,0,34684,244,69107068,8637944,49
140100100,John Carter,Week,2012-04-27,John Carter ,1,32,26,159372,0,22767,180,69266440,8652179,56
140100100,John Carter,Week,2012-05-04,John Carter ,1,12,32,1694105,0,242015,349,70960545,8840624,63
140100100,John Carter,Week,2012-05-11,John Carter ,1,17,12,827840,0,118262,230,71788385,8937247,70
140100100,John Carter,Week,2012-06-01,John Carter ,1,29,0,206714,0,29530,153,72794595,9001033,91
140100100,John Carter,Week,2012-06-08,John Carter ,1,33,29,145369,0,20767,102,72939964,9012362,98
